                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1565,                0.55745,                 0.9312,                0.95158,                0.95385,                0.96684,                0.60487,                 1.4083,                0.56771,                 1.0286,               0.008878,               0.008878,               0.008878
                     36,                 1.1354,                0.55222,                0.92496,                0.95415,                0.94685,                0.96902,                0.60165,                 1.4256,                0.57192,                 1.0338,               0.008845,               0.008845,               0.008845
                     37,                 1.1286,                0.55322,                0.92548,                0.95244,                0.95228,                 0.9674,                0.59628,                  1.427,                0.56358,                 1.0387,               0.008812,               0.008812,               0.008812
                     38,                 1.1222,                0.54509,                0.92237,                0.94469,                0.95664,                0.96806,                0.59927,                 1.4156,                0.57705,                  1.036,               0.008779,               0.008779,               0.008779
                     39,                 1.1012,                0.53755,                0.91592,                0.95379,                 0.9526,                0.97131,                0.60137,                 1.4117,                0.56179,                 1.0395,               0.008746,               0.008746,               0.008746
                     40,                 1.1037,                0.53781,                0.92038,                0.95122,                0.95804,                0.97005,                 0.5997,                 1.4134,                0.55916,                 1.0365,               0.008713,               0.008713,               0.008713
                     41,                 1.1053,                0.53568,                0.92185,                0.94898,                0.96259,                 0.9684,                0.60677,                 1.3987,                0.54956,                 1.0323,                0.00868,                0.00868,                0.00868
                     42,                 1.0962,                0.53148,                0.91526,                0.94956,                0.94786,                0.96938,                0.60666,                 1.3933,                0.54838,                 1.0319,               0.008647,               0.008647,               0.008647
                     43,                 1.0894,                0.52847,                 0.9142,                0.93896,                0.96224,                0.96906,                 0.6017,                 1.4011,                0.55315,                  1.035,               0.008614,               0.008614,               0.008614
                     44,                  1.082,                0.52155,                0.91329,                0.95129,                0.95608,                0.96989,                0.60415,                 1.4066,                 0.5593,                 1.0383,               0.008581,               0.008581,               0.008581
                     45,                 1.0844,                0.52521,                 0.9104,                0.94985,                0.95368,                0.96952,                0.60702,                 1.3993,                0.55779,                 1.0422,               0.008548,               0.008548,               0.008548
                     46,                 1.0684,                0.52059,                0.90758,                0.95152,                0.96082,                0.97104,                0.61561,                 1.3896,                0.54298,                 1.0339,               0.008515,               0.008515,               0.008515
                     47,                 1.0657,                0.51802,                0.90735,                0.94986,                0.95664,                0.96755,                0.60807,                 1.4017,                0.55089,                 1.0384,               0.008482,               0.008482,               0.008482
                     48,                 1.0522,                0.51242,                0.90697,                0.95785,                0.95349,                0.96836,                0.60734,                 1.4001,                0.54787,                  1.037,               0.008449,               0.008449,               0.008449
                     49,                 1.0521,                   0.51,                0.90476,                0.96906,                0.94406,                0.96396,                0.60342,                 1.4078,                0.55397,                 1.0424,               0.008416,               0.008416,               0.008416
                     50,                 1.0595,                0.51348,                0.90806,                0.95392,                0.95551,                0.96554,                0.60076,                 1.3979,                0.54015,                 1.0375,               0.008383,               0.008383,               0.008383
                     51,                  1.037,                 0.5055,                0.89935,                0.95229,                0.94921,                0.96574,                0.60163,                 1.3944,                 0.5446,                 1.0394,                0.00835,                0.00835,                0.00835
                     52,                  1.038,                0.50347,                0.90158,                0.95612,                0.94825,                  0.965,                0.60618,                 1.3863,                0.54268,                 1.0375,               0.008317,               0.008317,               0.008317
                     53,                 1.0387,                0.50061,                0.89969,                0.95311,                0.94266,                0.96035,                0.60613,                   1.38,                0.54608,                 1.0397,               0.008284,               0.008284,               0.008284
                     54,                 1.0203,                0.49577,                0.89892,                0.95073,                0.94406,                0.96156,                0.60815,                  1.376,                0.54237,                 1.0379,               0.008251,               0.008251,               0.008251
                     55,                 1.0133,                0.49613,                0.89404,                0.95726,                0.94685,                0.96802,                 0.6126,                 1.3761,                0.53982,                 1.0395,               0.008218,               0.008218,               0.008218
                     56,                 1.0142,                0.49408,                0.89434,                 0.9492,                0.95105,                0.96523,                  0.614,                 1.3716,                0.53912,                  1.037,               0.008185,               0.008185,               0.008185
                     57,                 1.0021,                0.48893,                 0.8943,                0.95146,                0.95385,                0.96694,                0.61177,                 1.3703,                 0.5342,                 1.0378,               0.008152,               0.008152,               0.008152
                     58,                 1.0056,                0.48757,                0.89317,                 0.9485,                0.95313,                0.96634,                  0.609,                 1.3795,                0.53822,                 1.0387,               0.008119,               0.008119,               0.008119
                     59,                 1.0027,                0.49007,                0.89637,                 0.9513,                0.95664,                0.96759,                0.61119,                   1.38,                0.53706,                 1.0379,               0.008086,               0.008086,               0.008086
                     60,                0.98923,                0.48435,                0.89177,                0.96332,                0.94406,                0.96818,                0.61206,                 1.3724,                0.53607,                 1.0365,               0.008053,               0.008053,               0.008053
                     61,                0.99747,                0.48403,                0.88872,                0.96145,                0.94685,                0.96604,                0.61148,                 1.3715,                0.53484,                 1.0382,                0.00802,                0.00802,                0.00802
                     62,                0.99412,                0.49216,                0.88907,                0.96282,                0.94685,                0.96726,                0.61106,                 1.3667,                0.53104,                 1.0379,               0.007987,               0.007987,               0.007987
                     63,                0.98144,                0.47747,                0.88749,                 0.9646,                0.95245,                0.97008,                0.61041,                 1.3686,                 0.5315,                 1.0385,               0.007954,               0.007954,               0.007954
                     64,                0.97396,                0.47502,                0.88824,                0.95804,                0.95798,                0.97012,                 0.6094,                 1.3717,                0.53002,                 1.0396,               0.007921,               0.007921,               0.007921
                     65,                0.97384,                0.47881,                0.88532,                0.95841,                0.95944,                0.97049,                0.60919,                 1.3723,                0.52965,                 1.0399,               0.007888,               0.007888,               0.007888
                     66,                0.96557,                0.47224,                0.88241,                0.95931,                0.95621,                0.96983,                0.60812,                 1.3732,                0.52849,                 1.0416,               0.007855,               0.007855,               0.007855
                     67,                0.95807,                0.47027,                0.88405,                0.95255,                0.95456,                0.96786,                0.60963,                  1.375,                0.53231,                 1.0427,               0.007822,               0.007822,               0.007822
