                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.448,                0.70075,                0.98407,                 0.9456,                0.88524,                0.93282,                0.46345,                   1.82,                0.81262,                 1.1596,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.4507,                0.69615,                0.98825,                0.92924,                0.91201,                0.94011,                 0.4676,                 1.8164,                0.77184,                 1.1813,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4252,                0.69666,                0.97465,                0.95779,                0.84038,                0.92229,                0.45042,                 1.8143,                0.85244,                 1.1454,               0.001307,               0.001307,               0.001307
                     37,                 1.4296,                0.69992,                 0.9827,                0.93338,                0.90802,                0.93901,                0.45578,                  1.818,                 0.7794,                 1.1442,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4183,                0.68224,                0.97382,                0.94148,                0.85648,                0.92226,                0.45554,                  1.762,                0.80067,                 1.1433,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3961,                0.66678,                0.96696,                0.94983,                0.90741,                0.94661,                 0.4728,                 1.7845,                0.77828,                 1.1532,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.4033,                0.66562,                0.97521,                0.94606,                0.89352,                0.93875,                0.45791,                 1.8123,                0.76587,                 1.1515,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3913,                0.67758,                0.96029,                0.92074,                0.92593,                0.95384,                0.46572,                   1.79,                0.76226,                 1.1649,               0.001208,               0.001208,               0.001208
                     42,                 1.3477,                 0.6607,                0.95368,                0.94415,                0.93915,                0.95337,                 0.4603,                 1.8451,                0.78918,                 1.1709,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3336,                0.66208,                0.96296,                0.96556,                0.93519,                0.95997,                 0.4726,                 1.8085,                0.75215,                 1.1498,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3127,                0.63783,                0.94116,                 0.9265,                0.93981,                0.95304,                0.44855,                 1.8938,                 0.7566,                 1.1818,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3179,                0.62925,                0.95127,                0.94391,                0.93483,                0.96179,                0.46344,                 1.8192,                 0.7607,                  1.184,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3153,                0.63238,                0.95195,                0.92889,                0.90716,                0.94337,                0.45556,                 1.8564,                0.80893,                 1.1789,               0.001109,               0.001109,               0.001109
                     47,                 1.2926,                0.62595,                0.93691,                0.95276,                0.93363,                0.97022,                0.45958,                  1.851,                0.79661,                 1.1972,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2699,                0.61633,                0.94193,                0.94261,                0.91247,                0.95505,                0.47176,                 1.7931,                0.75882,                 1.1564,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2418,                0.60349,                0.93655,                0.92205,                0.93981,                0.95493,                0.46467,                 1.8577,                0.74705,                 1.1987,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2411,                0.60738,                 0.9353,                0.94902,                 0.9213,                0.97154,                0.46594,                 1.8336,                 0.7454,                 1.1859,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2342,                0.60641,                0.93249,                0.95299,                0.93862,                0.96584,                0.46685,                 1.8404,                0.74102,                 1.1958,                0.00101,                0.00101,                0.00101
                     52,                 1.2218,                0.59161,                0.92116,                0.95479,                0.93519,                0.96857,                0.46657,                 1.8575,                 0.7322,                 1.1826,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2212,                0.58689,                0.92326,                0.97911,                0.94444,                0.98138,                0.46172,                 1.8282,                0.72474,                  1.187,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2127,                0.58347,                0.92124,                0.95782,                0.90278,                0.95497,                0.45805,                 1.8917,                0.75854,                 1.1804,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2005,                0.58373,                0.91764,                0.95994,                0.94444,                  0.972,                 0.4609,                 1.8554,                0.74389,                  1.184,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1875,                0.57507,                0.91742,                 0.9668,                0.94381,                 0.9762,                0.47527,                 1.7989,                0.71272,                 1.1735,               0.000911,               0.000911,               0.000911
                     57,                  1.191,                0.57091,                0.91848,                0.95632,                0.93056,                0.97045,                0.46861,                 1.8373,                0.72496,                  1.178,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1857,                 0.5679,                 0.9092,                0.94402,                0.93981,                 0.9603,                0.47026,                 1.8795,                 0.7055,                 1.1997,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1576,                0.56091,                0.90178,                0.94818,                0.93177,                0.95993,                0.47058,                 1.8287,                0.73564,                 1.1813,              0.0008516,              0.0008516,              0.0008516
